Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:57:08.669,target,BB Gun,0s,1,1,1,1,1,1,false
2,03:57:09.102,target,BB Gun,0s,1,1,1,1,1,1,false
3,03:57:09.402,target,BB Gun,0s,1,1,1,1,1,1,false
4,03:57:09.878,target,BB Gun,0s,1,1,1,1,1,1,false
5,03:57:10.212,target,BB Gun,0s,1,1,1,1,1,1,false
6,03:57:10.570,target,BB Gun,0s,1,1,1,1,1,1,false
7,03:57:10.994,target,BB Gun,0s,1,1,1,1,1,1,false
8,03:57:11.428,target,BB Gun,0s,1,1,1,1,1,1,false
9,03:57:12.052,target,BB Gun,0.324s,2,1,0.5,1,2,0.5,false
10,03:57:12.595,target,BB Gun,0s,1,1,1,1,1,1,false
11,03:57:12.953,target,BB Gun,0s,1,1,1,1,1,1,false
12,03:57:13.487,target,BB Gun,0s,1,1,1,1,1,1,false
13,03:57:13.921,target,BB Gun,0s,1,1,1,1,1,1,false
14,03:57:14.329,target,BB Gun,0s,1,1,1,1,1,1,false
15,03:57:14.870,target,BB Gun,0s,1,1,1,1,1,1,false
16,03:57:15.296,target,BB Gun,0s,1,1,1,1,1,1,false
17,03:57:15.873,target,BB Gun,0.001s,1,1,1,1,1,1,false
18,03:57:16.254,target,BB Gun,0s,1,1,1,1,1,1,false
19,03:57:16.646,target,BB Gun,0s,1,1,1,1,1,1,false
20,03:57:17.113,target,BB Gun,0.001s,1,1,1,1,1,1,false
21,03:57:17.495,target,BB Gun,0s,1,1,1,1,1,1,false
22,03:57:17.855,target,BB Gun,0s,1,1,1,1,1,1,false
23,03:57:18.196,target,BB Gun,0s,1,1,1,1,1,1,false
24,03:57:18.596,target,BB Gun,0s,1,1,1,1,1,1,false
25,03:57:19.038,target,BB Gun,0s,1,1,1,1,1,1,false
26,03:57:19.463,target,BB Gun,0s,1,1,1,1,1,1,false
27,03:57:20.046,target,BB Gun,0s,1,1,1,1,1,1,false
28,03:57:20.405,target,BB Gun,0s,1,1,1,1,1,1,false
29,03:57:21.039,target,BB Gun,0.001s,1,1,1,1,1,1,false
30,03:57:21.463,target,BB Gun,0s,1,1,1,1,1,1,false
31,03:57:21.947,target,BB Gun,0s,1,1,1,1,1,1,false
32,03:57:22.488,target,BB Gun,0s,1,1,1,1,1,1,false
33,03:57:23.614,target,BB Gun,0.718s,3,1,0.333,1,3,0.333,false
34,03:57:24.014,target,BB Gun,0s,1,1,1,1,1,1,false
35,03:57:24.455,target,BB Gun,0s,1,1,1,1,1,1,false
36,03:57:24.772,target,BB Gun,0s,1,1,1,1,1,1,false
37,03:57:25.272,target,BB Gun,0s,1,1,1,1,1,1,false
38,03:57:25.664,target,BB Gun,0s,1,1,1,1,1,1,false
39,03:57:26.382,target,BB Gun,0s,1,1,1,1,1,1,false
40,03:57:26.822,target,BB Gun,0s,1,1,1,1,1,1,false
41,03:57:27.640,target,BB Gun,0.493s,2,1,0.5,1,2,0.5,false
42,03:57:28.098,target,BB Gun,0s,1,1,1,1,1,1,false
43,03:57:28.448,target,BB Gun,0.001s,1,1,1,1,1,1,false
44,03:57:29.156,target,BB Gun,0.275s,2,1,0.5,1,2,0.5,false
45,03:57:29.673,target,BB Gun,0s,1,1,1,1,1,1,false
46,03:57:29.973,target,BB Gun,0s,1,1,1,1,1,1,false
47,03:57:30.423,target,BB Gun,0s,1,1,1,1,1,1,false
48,03:57:30.890,target,BB Gun,0s,1,1,1,1,1,1,false
49,03:57:31.248,target,BB Gun,0s,1,1,1,1,1,1,false
50,03:57:31.665,target,BB Gun,0s,1,1,1,1,1,1,false
51,03:57:32.032,target,BB Gun,0s,1,1,1,1,1,1,false
52,03:57:32.382,target,BB Gun,0s,1,1,1,1,1,1,false
53,03:57:33.125,target,BB Gun,0.001s,1,1,1,1,1,1,false
54,03:57:33.474,target,BB Gun,0s,1,1,1,1,1,1,false
55,03:57:33.849,target,BB Gun,0s,1,1,1,1,1,1,false
56,03:57:34.250,target,BB Gun,0s,1,1,1,1,1,1,false
57,03:57:34.491,target,BB Gun,0s,1,1,1,1,1,1,false
58,03:57:34.882,target,BB Gun,0s,1,1,1,1,1,1,false
