Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:16:53.804,target,BB Gun,0.001s,1,1,1,1,1,1,false
2,20:16:54.197,target,BB Gun,0s,1,1,1,1,1,1,false
3,20:16:54.571,target,BB Gun,0.001s,1,1,1,1,1,1,false
4,20:16:55.095,target,BB Gun,0s,1,1,1,1,1,1,false
5,20:16:55.554,target,BB Gun,0s,1,1,1,1,1,1,false
6,20:16:56.112,target,BB Gun,0s,1,1,1,1,1,1,false
7,20:16:56.362,target,BB Gun,0s,1,1,1,1,1,1,false
8,20:16:56.837,target,BB Gun,0s,1,1,1,1,1,1,false
9,20:16:57.304,target,BB Gun,0s,1,1,1,1,1,1,false
10,20:16:57.729,target,BB Gun,0.001s,1,1,1,1,1,1,false
11,20:16:58.272,target,BB Gun,0s,1,1,1,1,1,1,false
12,20:16:58.721,target,BB Gun,0s,1,1,1,1,1,1,false
13,20:16:59.262,target,BB Gun,0s,1,1,1,1,1,1,false
14,20:16:59.705,target,BB Gun,0s,1,1,1,1,1,1,false
15,20:17:00.280,target,BB Gun,0s,1,1,1,1,1,1,false
16,20:17:00.656,target,BB Gun,0.001s,1,1,1,1,1,1,false
17,20:17:01.082,target,BB Gun,0.001s,1,1,1,1,1,1,false
18,20:17:01.582,target,BB Gun,0s,1,1,1,1,1,1,false
19,20:17:01.939,target,BB Gun,0s,1,1,1,1,1,1,false
20,20:17:02.363,target,BB Gun,0s,1,1,1,1,1,1,false
21,20:17:02.864,target,BB Gun,0s,1,1,1,1,1,1,false
22,20:17:03.289,target,BB Gun,0s,1,1,1,1,1,1,false
23,20:17:03.839,target,BB Gun,0s,1,1,1,1,1,1,false
24,20:17:04.347,target,BB Gun,0s,1,1,1,1,1,1,false
25,20:17:04.973,target,BB Gun,0s,1,1,1,1,1,1,false
26,20:17:05.272,target,BB Gun,0s,1,1,1,1,1,1,false
27,20:17:06.139,target,BB Gun,0.525s,2,1,0.5,1,2,0.5,false
28,20:17:06.431,target,BB Gun,0s,1,1,1,1,1,1,false
