Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:13:49.462,target,BB Gun,0.001s,1,1,1,1,1,1,false
2,04:13:49.829,target,BB Gun,0s,1,1,1,1,1,1,false
3,04:13:50.387,target,BB Gun,0s,1,1,1,1,1,1,false
4,04:13:50.862,target,BB Gun,0s,1,1,1,1,1,1,false
5,04:13:51.254,target,BB Gun,0s,1,1,1,1,1,1,false
6,04:13:51.704,target,BB Gun,0s,1,1,1,1,1,1,false
7,04:13:52.270,target,BB Gun,0s,1,1,1,1,1,1,false
8,04:13:52.620,target,BB Gun,0s,1,1,1,1,1,1,false
9,04:13:52.837,target,BB Gun,0s,1,1,1,1,1,1,false
10,04:13:53.287,target,BB Gun,0s,1,1,1,1,1,1,false
11,04:13:53.820,target,BB Gun,0s,1,1,1,1,1,1,false
12,04:13:54.255,target,BB Gun,0s,1,1,1,1,1,1,false
13,04:13:54.571,target,BB Gun,0.001s,1,1,1,1,1,1,false
14,04:13:54.887,target,BB Gun,0s,1,1,1,1,1,1,false
15,04:13:55.204,target,BB Gun,0s,1,1,1,1,1,1,false
16,04:13:56.071,target,BB Gun,0.55s,2,1,0.5,1,2,0.5,false
17,04:13:56.513,target,BB Gun,0s,1,1,1,1,1,1,false
18,04:13:56.879,target,BB Gun,0s,1,1,1,1,1,1,false
19,04:13:57.247,target,BB Gun,0s,1,1,1,1,1,1,false
20,04:13:57.888,target,BB Gun,0s,1,1,1,1,1,1,false
21,04:13:58.281,target,BB Gun,0s,1,1,1,1,1,1,false
22,04:13:58.588,target,BB Gun,0s,1,1,1,1,1,1,false
23,04:13:58.906,target,BB Gun,0.001s,1,1,1,1,1,1,false
24,04:13:59.238,target,BB Gun,0s,1,1,1,1,1,1,false
25,04:13:59.914,target,BB Gun,0.268s,2,1,0.5,1,2,0.5,false
26,04:14:00.413,target,BB Gun,0s,1,1,1,1,1,1,false
27,04:14:00.731,target,BB Gun,0s,1,1,1,1,1,1,false
28,04:14:01.172,target,BB Gun,0s,1,1,1,1,1,1,false
29,04:14:01.722,target,BB Gun,0s,1,1,1,1,1,1,false
30,04:14:02.122,target,BB Gun,0s,1,1,1,1,1,1,false
31,04:14:02.648,target,BB Gun,0.234s,2,1,0.5,1,2,0.5,false
32,04:14:03.014,target,BB Gun,0s,1,1,1,1,1,1,false
33,04:14:03.322,target,BB Gun,0s,1,1,1,1,1,1,false
34,04:14:03.664,target,BB Gun,0s,1,1,1,1,1,1,false
35,04:14:04.081,target,BB Gun,0s,1,1,1,1,1,1,false
36,04:14:04.431,target,BB Gun,0s,1,1,1,1,1,1,false
37,04:14:05.115,target,BB Gun,0.001s,1,1,1,1,1,1,false
38,04:14:05.448,target,BB Gun,0s,1,1,1,1,1,1,false
39,04:14:05.857,target,BB Gun,0s,1,1,1,1,1,1,false
40,04:14:06.182,target,BB Gun,0s,1,1,1,1,1,1,false
41,04:14:06.841,target,BB Gun,0s,1,1,1,1,1,1,false
42,04:14:07.116,target,BB Gun,0s,1,1,1,1,1,1,false
