Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:54:01.922,Quaker Bot Fast Strafes,LG,6.482s,142,50,0.352,300,852,0.352,false
2,03:54:12.799,Quaker Bot Fast Strafes,LG,10.602s,200,50,0.25,300,1200,0.25,false
3,03:54:23.859,Quaker Bot Fast Strafes,LG,10.785s,202,50,0.248,300,1212,0.248,false
4,03:54:34.852,Quaker Bot Fast Strafes,LG,9.101s,199,50,0.251,300,1194,0.251,false
5,03:54:44.736,Quaker Bot Fast Strafes,LG,9.609s,180,50,0.278,300,1080,0.278,false
6,03:54:54.087,Quaker Bot Fast Strafes,LG,9.077s,164,50,0.305,300,984,0.305,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1088,300,1800.0,6528.0,

Kills:,6
Deaths:,0
Fight Time:,55.655998
Avg TTK:,0
Damage Done:,1800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1488.970581
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.3.1
Challenge Start:,03:53:37.167

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Overwatch
Horiz Sens:,4.64
Vert Sens:,4.64
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,119.802696
Resolution Scale,100.0
