Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:08:47.941,fnflyerbot,FN Assault Rifle No Bloom,3.45s,20,7,0.35,297,1320,0.225,false
2,22:08:51.484,fnflyerslowbot,FN Assault Rifle No Bloom,3.085s,18,5,0.278,198,1188,0.167,false
3,22:08:56.367,fnflyerslowbot,FN Assault Rifle No Bloom,3.265s,17,7,0.412,231,1122,0.206,false
4,22:09:00.402,fnflyerslowbot,FN Assault Rifle No Bloom,3.451s,20,5,0.25,231,1320,0.175,false
5,22:09:05.881,fnflyerslowbot,FN Assault Rifle No Bloom,4.419s,25,5,0.2,165,1650,0.1,false
6,22:09:10.665,fnflyerslowbot,FN Assault Rifle No Bloom,4.649s,19,2,0.105,132,1254,0.105,false
7,22:09:16.234,fnflyerbot,FN Assault Rifle No Bloom,4.876s,23,3,0.13,132,1518,0.087,false
9,22:09:20.134,fnflyerbot,FN Assault Rifle No Bloom,3.565s,20,4,0.2,198,1320,0.15,false
10,22:09:24.695,fnflyerslowbot,FN Assault Rifle No Bloom,2.359s,14,7,0.5,231,924,0.25,false
11,22:09:27.796,fnflyerbot,FN Assault Rifle No Bloom,2.475s,13,7,0.538,231,858,0.269,false
12,22:09:29.705,fnflyerslowbot,FN Assault Rifle No Bloom,1.633s,9,3,0.333,165,594,0.278,false
13,22:09:34.394,fnflyerbot,FN Assault Rifle No Bloom,3.631s,21,6,0.286,264,1386,0.19,false
14,22:09:39.126,fnflyerbot,FN Assault Rifle No Bloom,4.606s,20,2,0.1,99,1320,0.075,false
15,22:09:41.694,fnflyerbot,FN Assault Rifle No Bloom,1.449s,9,5,0.556,231,594,0.389,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
FN Assault Rifle No Bloom,250,68,2805.0,16500.0,
FN SMG No Bloom,0,0,0.0,0.0,
FN Hunting Rifle No Bloom,0,0,0.0,0.0,

Kills:,15
Deaths:,0
Fight Time:,50.470001
Avg TTK:,0
Damage Done:,2805.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2805.0
Scenario:,Fortnite Gliders 360
Hash:,d1f51949646ebdc6eca5470eef055616
Game Version:,2.0.3.1
Challenge Start:,22:08:43.051

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Overwatch
Horiz Sens:,4.64
Vert Sens:,4.64
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,119.833588
Resolution Scale,100.0
