Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:39:16.270,TileFrenzy Cube,LG,0.649s,6,6,1,36,36,1,false
2,20:39:16.653,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
3,20:39:16.978,TileFrenzy Cube,LG,0.041s,2,2,1,12,12,1,false
4,20:39:17.420,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
5,20:39:17.762,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
6,20:39:18.128,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
7,20:39:18.587,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
8,20:39:18.962,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
9,20:39:19.420,TileFrenzy Cube,LG,0.131s,4,4,1,24,24,1,false
10,20:39:19.728,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
11,20:39:20.053,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
12,20:39:20.379,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
13,20:39:20.654,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
14,20:39:21.020,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
15,20:39:21.336,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
16,20:39:21.613,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
17,20:39:21.983,TileFrenzy Cube,LG,0.145s,4,4,1,24,24,1,false
18,20:39:22.309,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
19,20:39:22.584,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
20,20:39:22.951,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
21,20:39:23.224,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
22,20:39:23.607,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
23,20:39:24.299,TileFrenzy Cube,LG,0.416s,10,7,0.7,42,60,0.7,false
24,20:39:24.699,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
25,20:39:24.975,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
26,20:39:25.074,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
27,20:39:25.483,TileFrenzy Cube,LG,0.275s,7,4,0.571,24,42,0.571,false
28,20:39:25.891,TileFrenzy Cube,LG,0.224s,6,5,0.833,30,36,0.833,false
29,20:39:26.216,TileFrenzy Cube,LG,0.092s,3,3,1,18,18,1,false
30,20:39:26.950,TileFrenzy Cube,LG,0.551s,13,7,0.538,42,78,0.538,false
31,20:39:27.275,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
32,20:39:27.658,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
33,20:39:27.933,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
34,20:39:28.608,TileFrenzy Cube,LG,0.601s,14,6,0.429,36,84,0.429,false
35,20:39:29.025,TileFrenzy Cube,LG,0.234s,6,4,0.667,24,36,0.667,false
36,20:39:29.450,TileFrenzy Cube,LG,0.183s,5,3,0.6,18,30,0.6,false
37,20:39:29.817,TileFrenzy Cube,LG,0.092s,3,3,1,18,18,1,false
38,20:39:30.217,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
39,20:39:30.450,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
40,20:39:30.600,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
