Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:27:29.527,target,pistol mini,0s,1,1,1,25,50,0.5,false
2,20:27:29.920,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
3,20:27:30.177,target,pistol mini,0s,1,1,1,25,50,0.5,false
4,20:27:30.877,target,pistol mini,0.407s,2,1,0.5,25,100,0.25,false
5,20:27:31.103,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
6,20:27:31.377,target,pistol mini,0s,1,1,1,25,50,0.5,false
7,20:27:31.761,target,pistol mini,0s,1,1,1,25,50,0.5,false
8,20:27:32.136,target,pistol mini,0s,1,1,1,25,50,0.5,false
9,20:27:32.378,target,pistol mini,0s,1,1,1,25,50,0.5,false
10,20:27:32.661,target,pistol mini,0s,1,1,1,25,50,0.5,false
11,20:27:32.936,target,pistol mini,0s,1,1,1,25,50,0.5,false
12,20:27:33.228,target,pistol mini,0s,1,1,1,25,50,0.5,false
13,20:27:33.545,target,pistol mini,0s,1,1,1,25,50,0.5,false
14,20:27:33.836,target,pistol mini,0s,1,1,1,25,50,0.5,false
15,20:27:34.079,target,pistol mini,0s,1,1,1,25,50,0.5,false
16,20:27:34.687,target,pistol mini,0.334s,2,1,0.5,25,100,0.25,false
17,20:27:34.954,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
18,20:27:35.371,target,pistol mini,0s,1,1,1,25,50,0.5,false
19,20:27:35.712,target,pistol mini,0s,1,1,1,25,50,0.5,false
20,20:27:35.937,target,pistol mini,0s,1,1,1,25,50,0.5,false
21,20:27:36.229,target,pistol mini,0s,1,1,1,25,50,0.5,false
22,20:27:36.462,target,pistol mini,0s,1,1,1,25,50,0.5,false
23,20:27:36.713,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
24,20:27:37.006,target,pistol mini,0s,1,1,1,25,50,0.5,false
25,20:27:37.298,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
26,20:27:37.522,target,pistol mini,0s,1,1,1,25,50,0.5,false
27,20:27:38.056,target,pistol mini,0.241s,2,1,0.5,25,100,0.25,false
28,20:27:38.307,target,pistol mini,0s,1,1,1,25,50,0.5,false
29,20:27:38.699,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
30,20:27:38.932,target,pistol mini,0s,1,1,1,25,50,0.5,false
31,20:27:39.198,target,pistol mini,0s,1,1,1,25,50,0.5,false
32,20:27:39.799,target,pistol mini,0.325s,2,1,0.5,25,100,0.25,false
33,20:27:40.075,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
34,20:27:40.432,target,pistol mini,0s,1,1,1,25,50,0.5,false
35,20:27:40.732,target,pistol mini,0s,1,1,1,25,50,0.5,false
