Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:24:51.180,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
2,20:24:51.582,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
3,20:24:52.248,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
4,20:24:52.857,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
5,20:24:53.557,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
6,20:24:54.398,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
7,20:24:55.007,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
8,20:24:55.532,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
9,20:24:56.207,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
10,20:24:56.844,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
11,20:24:57.612,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
12,20:24:58.045,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
13,20:24:58.864,Shinji Bot,pistol,0.267s,2,1,0.5,2000,4000,0.5,false
14,20:24:59.156,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
15,20:24:59.673,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
16,20:25:00.132,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
17,20:25:01.064,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
18,20:25:01.724,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
19,20:25:02.441,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
20,20:25:03.016,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
21,20:25:04.285,Shinji small Bot,pistol,0.833s,2,1,0.5,2000,4000,0.5,false
22,20:25:04.869,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
23,20:25:06.693,Shinji Bot,pistol,0.249s,2,1,0.5,2000,4000,0.5,false
24,20:25:07.195,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
25,20:25:07.605,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
26,20:25:08.379,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
27,20:25:09.180,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
28,20:25:09.581,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
29,20:25:10.573,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
30,20:25:11.065,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
31,20:25:11.432,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
32,20:25:12.040,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
33,20:25:12.824,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
34,20:25:13.675,Shinji Bot,pistol,0.267s,2,1,0.5,2000,4000,0.5,false
35,20:25:15.034,Shinji Bot,pistol,0.592s,2,1,0.5,2000,4000,0.5,false
36,20:25:15.442,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
37,20:25:16.151,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
38,20:25:16.743,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
39,20:25:17.126,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
40,20:25:17.710,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
41,20:25:18.318,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
42,20:25:18.836,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
43,20:25:19.510,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
44,20:25:19.936,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
45,20:25:21.002,Shinji Bot,pistol,0.467s,2,1,0.5,2000,4000,0.5,false
46,20:25:21.711,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
47,20:25:22.286,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
48,20:25:23.303,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
49,20:25:23.978,Shinji Bot,pistol,0.217s,2,1,0.5,2000,4000,0.5,false
50,20:25:24.662,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
51,20:25:25.372,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
52,20:25:26.041,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
53,20:25:26.508,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
54,20:25:27.308,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
55,20:25:27.767,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
56,20:25:28.650,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
57,20:25:29.467,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
58,20:25:29.994,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
59,20:25:30.576,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
60,20:25:31.126,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
61,20:25:31.601,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
62,20:25:32.160,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
63,20:25:32.810,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
64,20:25:33.460,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
65,20:25:34.244,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
66,20:25:35.110,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
67,20:25:35.627,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
68,20:25:36.087,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
69,20:25:36.660,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
70,20:25:37.203,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
71,20:25:37.764,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
72,20:25:38.341,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
73,20:25:39.392,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
74,20:25:40.316,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
75,20:25:40.900,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
76,20:25:41.376,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
77,20:25:42.200,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
78,20:25:42.750,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
79,20:25:43.317,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
80,20:25:44.126,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
81,20:25:44.843,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
82,20:25:45.643,Shinji Bot,pistol,0.284s,2,1,0.5,2000,4000,0.5,false
83,20:25:46.460,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
84,20:25:47.245,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
85,20:25:47.694,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
86,20:25:48.086,Shinji Bot,pistol,0.301s,2,1,0.5,2000,4000,0.5,false
87,20:25:48.611,Shinji Bot,pistol,0.001s,1,1,1,2000,2000,1,false
88,20:25:49.178,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false
89,20:25:49.578,Shinji Bot,pistol,0s,1,1,1,2000,2000,1,false
90,20:25:50.204,Shinji small Bot,pistol,0s,1,1,1,2000,2000,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,99,90,180000.0,198000.0,

Kills:,90
Deaths:,0
Fight Time:,3.485
Avg TTK:,0
Damage Done:,180000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,81.818184
Scenario:,Valorant Small Flicks
Hash:,551c4ed108bfdec58c6247683110c85b
Game Version:,2.0.4.0
Challenge Start:,20:24:45.878

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.5
Vert Sens:,1.5
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,119.483498
Resolution Scale,100.0
