Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:10:03.075,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
2,22:10:03.558,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
3,22:10:04.475,Quaker Bot Long Strafes,LG,0.608s,52,20,0.385,100,260,0.385,false
4,22:10:05.275,Quaker Bot Long Strafes,LG,0.542s,56,20,0.357,100,280,0.357,false
5,22:10:06.184,Quaker Bot Long Strafes,LG,0.532s,55,20,0.364,100,275,0.364,false
6,22:10:06.943,Quaker Bot Long Strafes,LG,0.433s,45,20,0.444,100,225,0.444,false
7,22:10:07.968,Quaker Bot Long Strafes,LG,0.492s,51,20,0.392,100,255,0.392,false
8,22:10:08.618,Quaker Bot Long Strafes,LG,0.333s,35,20,0.571,100,175,0.571,false
9,22:10:09.735,Quaker Bot Long Strafes,LG,0.389s,41,20,0.488,100,205,0.488,false
10,22:10:10.469,Quaker Bot Long Strafes,LG,0.466s,48,20,0.417,100,240,0.417,false
11,22:10:12.035,Quaker Bot Long Strafes,LG,1.216s,123,20,0.163,100,615,0.163,false
12,22:10:12.753,Quaker Bot Long Strafes,LG,0.366s,38,20,0.526,100,190,0.526,false
13,22:10:13.503,Quaker Bot Long Strafes,LG,0.367s,38,20,0.526,100,190,0.526,false
14,22:10:14.094,Quaker Bot Long Strafes,LG,0.265s,28,20,0.714,100,140,0.714,false
15,22:10:14.995,Quaker Bot Long Strafes,LG,0.608s,62,20,0.323,100,310,0.323,false
16,22:10:16.479,Quaker Bot Long Strafes,LG,1.065s,103,20,0.194,100,515,0.194,false
17,22:10:17.212,Quaker Bot Long Strafes,LG,0.343s,36,20,0.556,100,180,0.556,false
18,22:10:17.687,Quaker Bot Long Strafes,LG,0.216s,23,20,0.87,100,115,0.87,false
19,22:10:18.797,Quaker Bot Long Strafes,LG,0.757s,77,20,0.26,100,385,0.26,false
20,22:10:19.546,Quaker Bot Long Strafes,LG,0.492s,51,20,0.392,100,255,0.392,false
21,22:10:20.480,Quaker Bot Long Strafes,LG,0.459s,47,20,0.426,100,235,0.426,false
22,22:10:21.046,Quaker Bot Long Strafes,LG,0.182s,20,20,1,100,100,1,false
23,22:10:21.804,Quaker Bot Long Strafes,LG,0.474s,49,20,0.408,100,245,0.408,false
24,22:10:22.255,Quaker Bot Long Strafes,LG,0.182s,20,20,1,100,100,1,false
25,22:10:23.356,Quaker Bot Long Strafes,LG,0.825s,47,20,0.426,100,235,0.426,false
26,22:10:24.098,Quaker Bot Long Strafes,LG,0.442s,46,20,0.435,100,230,0.435,false
27,22:10:25.315,Quaker Bot Long Strafes,LG,0.792s,81,20,0.247,100,405,0.247,false
28,22:10:26.299,Quaker Bot Long Strafes,LG,0.316s,33,20,0.606,100,165,0.606,false
29,22:10:26.990,Quaker Bot Long Strafes,LG,0.391s,41,20,0.488,100,205,0.488,false
30,22:10:27.500,Quaker Bot Long Strafes,LG,0.286s,30,20,0.667,100,150,0.667,false
31,22:10:29.176,Quaker Bot Long Strafes,LG,1.207s,122,20,0.164,100,610,0.164,false
32,22:10:30.068,Quaker Bot Long Strafes,LG,0.374s,39,20,0.513,100,195,0.513,false
33,22:10:30.768,Quaker Bot Long Strafes,LG,0.333s,35,20,0.571,100,175,0.571,false
34,22:10:31.827,Quaker Bot Long Strafes,LG,0.657s,67,20,0.299,100,335,0.299,false
35,22:10:32.627,Quaker Bot Long Strafes,LG,0.409s,42,20,0.476,100,210,0.476,false
36,22:10:33.428,Quaker Bot Long Strafes,LG,0.191s,21,20,0.952,100,105,0.952,false
37,22:10:34.186,Quaker Bot Long Strafes,LG,0.357s,37,20,0.541,100,185,0.541,false
38,22:10:34.636,Quaker Bot Long Strafes,LG,0.292s,31,20,0.645,100,155,0.645,false
39,22:10:35.636,Quaker Bot Long Strafes,LG,0.708s,49,20,0.408,100,245,0.408,false
40,22:10:36.279,Quaker Bot Long Strafes,LG,0.274s,29,20,0.69,100,145,0.69,false
41,22:10:36.945,Quaker Bot Long Strafes,LG,0.375s,39,20,0.513,100,195,0.513,false
42,22:10:37.479,Quaker Bot Long Strafes,LG,0.242s,26,20,0.769,100,130,0.769,false
43,22:10:38.779,Quaker Bot Long Strafes,LG,0.674s,69,20,0.29,100,345,0.29,false
44,22:10:39.471,Quaker Bot Long Strafes,LG,0.316s,33,20,0.606,100,165,0.606,false
45,22:10:40.037,Quaker Bot Long Strafes,LG,0.184s,20,20,1,100,100,1,false
46,22:10:40.830,Quaker Bot Long Strafes,LG,0.457s,47,20,0.426,100,235,0.426,false
47,22:10:41.564,Quaker Bot Long Strafes,LG,0.483s,50,20,0.4,100,250,0.4,false
48,22:10:42.147,Quaker Bot Long Strafes,LG,0.291s,31,20,0.645,100,155,0.645,false
49,22:10:42.922,Quaker Bot Long Strafes,LG,0.342s,36,20,0.556,100,180,0.556,false
50,22:10:43.522,Quaker Bot Long Strafes,LG,0.309s,32,20,0.625,100,160,0.625,false
51,22:10:44.656,Quaker Bot Long Strafes,LG,0.441s,46,20,0.435,100,230,0.435,false
52,22:10:45.214,Quaker Bot Long Strafes,LG,0.359s,37,20,0.541,100,185,0.541,false
53,22:10:45.748,Quaker Bot Long Strafes,LG,0.184s,20,20,1,100,100,1,false
54,22:10:46.623,Quaker Bot Long Strafes,LG,0.591s,61,20,0.328,100,305,0.328,false
55,22:10:47.865,Quaker Bot Long Strafes,LG,0.859s,66,20,0.303,100,330,0.303,false
56,22:10:48.674,Quaker Bot Long Strafes,LG,0.392s,41,20,0.488,100,205,0.488,false
57,22:10:49.540,Quaker Bot Long Strafes,LG,0.558s,57,20,0.351,100,285,0.351,false
58,22:10:50.849,Quaker Bot Long Strafes,LG,0.958s,97,20,0.206,100,485,0.206,false
59,22:10:51.874,Quaker Bot Long Strafes,LG,0.633s,65,20,0.308,100,325,0.308,false
60,22:10:52.715,Quaker Bot Long Strafes,LG,0.425s,36,20,0.556,100,180,0.556,false
61,22:10:53.908,Quaker Bot Long Strafes,LG,0.684s,70,20,0.286,100,350,0.286,false
62,22:10:55.016,Quaker Bot Long Strafes,LG,0.775s,56,20,0.357,100,280,0.357,false
63,22:10:55.708,Quaker Bot Long Strafes,LG,0.416s,43,20,0.465,100,215,0.465,false
64,22:10:56.418,Quaker Bot Long Strafes,LG,0.332s,35,20,0.571,100,175,0.571,false
65,22:10:57.442,Quaker Bot Long Strafes,LG,0.342s,36,20,0.556,100,180,0.556,false
66,22:10:57.934,Quaker Bot Long Strafes,LG,0.217s,23,20,0.87,100,115,0.87,false
67,22:10:59.178,Quaker Bot Long Strafes,LG,0.91s,92,23,0.25,115,460,0.25,false
68,22:10:59.744,Quaker Bot Long Strafes,LG,0.258s,27,17,0.63,85,135,0.63,false
69,22:11:00.544,Quaker Bot Long Strafes,LG,0.475s,49,20,0.408,100,245,0.408,false
70,22:11:01.352,Quaker Bot Long Strafes,LG,0.367s,38,20,0.526,100,190,0.526,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,3297,1415,7075.0,16485.0,

Kills:,70
Deaths:,0
Fight Time:,32.855999
Avg TTK:,0
Damage Done:,7075.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,70.75
Scenario:,voxTargetSwitch
Hash:,0726d639df23bb87e88e374b5038d834
Game Version:,2.0.3.1
Challenge Start:,22:10:01.750

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Overwatch
Horiz Sens:,4.64
Vert Sens:,4.64
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,119.722221
Resolution Scale,100.0
